(u'comida', 0.6474023165427845)
(u'lugar', 0.635640057822263)
(u'pero', 0.6066519302532942)
(u'muy', 0.5748401377056815)
(u'para', 0.5419947330189832)
(u'por', 0.5394064820363234)
(u'Bulwark', 0.5231321370229676)
(u'una', 0.5227801029967409)
(u'los', 0.5092041435116474)
(u'Enjoyed', 0.4603751977313184)
(u'Excellent', 0.4532769773235721)
(u'Thx', 0.4436747332398703)
(u'el', 0.4432119916944739)
(u'Recommend', 0.4422378639332738)
(u'nicht', 0.4390553976758369)
(u'Postmates', 0.43863759523175183)
(u'Amazing', 0.43540098019700935)
(u'Always', 0.4342320053634996)
(u'Defiantly', 0.4329768729366119)
(u'Ate', 0.43011850203301627)
(u'Great', 0.4299318196845867)
(u'zu', 0.42637637589218436)
(u'ist', 0.4254817766164152)
(u'awsome', 0.4248749989882121)
(u'Wonderful', 0.4231059666636554)
(u'Exceptional', 0.42121173312099813)
(u'Consistently', 0.42120755461398574)
(u'Highly', 0.4153389700560659)
(u'Love', 0.4148952637769625)
(u'Outstanding', 0.40583348776360495)
(u'Helped', 0.4047196737289358)
(u'Consistent', 0.40425352716900065)
(u'Visiting', 0.40409696023485076)
(u'Awesome', 0.4037062460500671)
(u'Courteous', 0.4031262756009184)
(u'Prompt', 0.3996252254756989)
(u'sonic', 0.39849619985218787)
(u'Strongly', 0.3978111378433855)
(u'disappoints', 0.3950972884380892)
(u'Terrific', 0.3941350960263357)
(u'und', 0.39406207164558005)
(u'deff', 0.39207466772957744)
(u'Delicious', 0.38597960741031656)
(u'Fantastic', 0.3855820590809458)
(u'Reasonable', 0.38139494535703733)
(u'auch', 0.38123645670090944)
(u'ein', 0.3803185278176642)
(u'Loved', 0.38026811779031533)
(u'Phenomenal', 0.3775966166129372)
(u'Favorite', 0.3774722320762276)
(u'Best', 0.3763494077980951)
(u'Reasonably', 0.3757733663182634)
(u'Knowledgeable', 0.37355486631316026)
(u'das', 0.3720089952076897)
(u'Will', 0.3719676761294153)
(u'Friendly', 0.3690006607425964)
(u'fir', 0.35927619435013725)
(u'Authentic', 0.3590508011184923)
(u'Busy', 0.357619885930351)
(u'mit', 0.3556532283034297)
(u'Had', 0.3534185579522191)
(u'Zach', 0.3532935131286923)
(u'Quaint', 0.3512130759732024)
(u'minuets', 0.3502199223119895)
(u'SNS', 0.3500121196356254)
(u'dominos', 0.3497849799349986)
(u'Attentive', 0.348562903440925)
(u'Been', 0.3478362314142007)
(u'recomend', 0.34317441216519384)
(u'Incredible', 0.33610254271073536)
(u'Food', 0.3316958875414002)
(u'Ordered', 0.3312363069204842)
(u'Hannah', 0.3311269693880927)
(u'Tint', 0.33105732283561196)
(u'Would', 0.3307391918598892)
(u'Togo', 0.3302146546647453)
(u'Quick', 0.32955263558435455)
(u'Pricey', 0.3295123905636341)
(u'Thank', 0.32906232282457637)
(u'Fabulous', 0.3284317123560534)
(u'amd', 0.3266802443993484)
(u'alittle', 0.32364051752592715)
(u'Relaxing', 0.323308467489829)
(u'blt', 0.32249952282952954)
(u'charlotte', 0.3223274673880656)
(u'Waiter', 0.322291581498666)
(u'barbershop', 0.322144570860063)
(u'restraunt', 0.32121795188360913)
(u'Waiters', 0.3196486000729415)
(u'Server', 0.31960720879934534)
(u'Def', 0.31894073928150846)
(u'Staff', 0.3185153145488808)
(u'Tried', 0.31790291616377964)
(u'khao', 0.3169230631426352)
(u'Yummy', 0.31650651796228857)
(u'defiantly', 0.3160400987931187)
(u'Fixed', 0.3153961569809276)
(u'costumer', 0.3146922761607609)
(u'Stopped', 0.31464030550908006)
(u'Fun', 0.3124185063956233)
(u'Stumbled', 0.3119279914976065)
(u'Omg', 0.3115427115053535)
(u'Waitstaff', 0.31136328734640273)
(u'Wish', 0.3103536103999538)
(u'Rueben', 0.31025170094706134)
(u'Margaritas', 0.30993819935492617)
(u'su', 0.3095468828838168)
(u'Cozy', 0.30938057365453453)
(u'Shout', 0.30895690356189043)
(u'Pleasantly', 0.30876693913136677)
(u'Cant', 0.30843381015951543)
(u'Raul', 0.30800361268745036)
(u'der', 0.3074051716591395)
(u'Jess', 0.3069833996295035)
(u'Good', 0.30678421471237804)
(u'Thoroughly', 0.30660544697957626)
(u'jimmy', 0.30543275017222626)
(u'Very', 0.30464133218254474)
(u'atmosphere', 0.3044338890740832)
(u'granddaughter', 0.3033266893848108)
(u'Brianna', 0.3031387096442977)
(u'chilaquiles', 0.3030215939690102)
(u'Snooze', 0.302921962298603)
(u'Waitress', 0.3025919271436077)
(u'Must', 0.30164113607790455)
(u'Decent', 0.3010340620751393)
(u'alway', 0.30046352041416213)
(u'Went', 0.3002372049983215)
(u'Visited', 0.2996613202465319)
(u'Definitely', 0.29954905126438724)
(u'Needed', 0.29813103915732064)
(u'mcdonalds', 0.2978945464805314)
(u'Nice', 0.2974228349468895)
(u'Dustin', 0.2970229492234804)
(u'johns', 0.2967485572555262)
(u'Tyler', 0.29671683048408504)
(u'Worked', 0.29640129029896656)
(u'Servers', 0.2962691477842476)
(u'Benedict', 0.29492398705960454)
(u'Dined', 0.29464326679286046)
(u'pricy', 0.2945532306261587)
(u'Jorge', 0.29325307874994166)
(u'Liked', 0.2923010837733724)
(u'Professional', 0.29123558189157706)
(u'Worth', 0.29113306578371834)
(u'Thanks', 0.29095031374781044)
(u'frys', 0.2906555731837397)
(u'Gets', 0.2905066195825121)
(u'reccomend', 0.2904896048222074)
(u'Kyle', 0.29020601622637265)
(u'Portions', 0.2900533053775458)
(u'asset', 0.2900016187800407)
(u'Polite', 0.28998847265271444)
(u'Natalie', 0.2891289403638151)
(u'amazing', 0.28871201942913416)
(u'Dennys', 0.2874373351059738)
(u'Lovely', 0.2873321792780832)
(u'outback', 0.2869962618205122)
(u'Tr', 0.2863714958253656)
(u'Unique', 0.28585830743230467)
(u'Clean', 0.2841715921129797)
(u'definetly', 0.283582241106501)
(u'Job', 0.28306958553949535)
(u'slowest', 0.2824231581823433)
(u'Expected', 0.28190542693694454)
(u'Absolutely', 0.2817049330599133)
(u'ive', 0.28125801907034287)
(u'Veronica', 0.28074426664931806)
(u'Eco', 0.28063000815344274)
(u'Ana', 0.2799498557396287)
(u'Jordan', 0.2795373553654752)
(u'Bbq', 0.2790711210609391)
(u'outstanding', 0.27865707256828465)
(u'Bartenders', 0.27851172554819215)
(u'elote', 0.27835725694204605)
(u'Hector', 0.27806280532711014)
(u'bomb', 0.2779758353186601)
(u'fil', 0.2773602678334779)
(u'luv', 0.27734965917964516)
(u'Extensive', 0.2772652446826296)
(u'excellent', 0.27708397721667044)
(u'exceptional', 0.27625382684953514)
(u'Wont', 0.27613430628037783)
(u'Watched', 0.27559843158196706)
(u'Christina', 0.27541572589865204)
(u'ambience', 0.27535775430333054)
(u'fajitas', 0.2748262975329201)
(u'Bottomless', 0.27481232981992143)
(u'Waited', 0.2746301970446243)
(u'summerlicious', 0.27456143848047354)
(u'phx', 0.27299356867403546)
(u'Resturant', 0.27291862581792614)
(u'Discovered', 0.2725246723628789)
(u'Adrian', 0.2716138953086862)
(u'Comfortable', 0.2713817540478267)
(u'Plumbing', 0.27132291756456617)
(u'Employees', 0.2713147497865229)
(u'Got', 0.2710242679623178)
(u'Cannot', 0.2709503844947978)
(u'Cody', 0.2707447167243)
(u'Shane', 0.2706646908119552)
(u'Katie', 0.2706214549571797)
(u'Waitresses', 0.270555920300934)
(u'recommend', 0.2701302490094575)
(u'courteous', 0.2701263383465857)
(u'Definately', 0.2700121082269966)
(u'Hands', 0.26999908852469545)
(u'Ruben', 0.26999362060107224)
(u'Generous', 0.26976924898055366)
(u'Shared', 0.2688274728320579)
(u'rancheros', 0.2684250651119573)
(u'tastey', 0.26825198632719527)
(u'Tori', 0.2674322225222987)
(u'Pleasant', 0.2666865224212813)
(u'Cashier', 0.26668169255208163)
(u'af', 0.2664992647922464)
(u'Curtis', 0.2659964720961945)
(u'Robertos', 0.26583517396851697)
(u'Such', 0.2657324616247596)
(u'Donna', 0.2655302734634315)
(u'die', 0.2655193477016855)
(u'Seated', 0.2654093137654314)
(u'OUTSTANDING', 0.26524282779383945)
(u'Delivery', 0.26522431600509044)
(u'Storage', 0.2648596126138294)
(u'Cute', 0.26468819266631627)
(u'Bartender', 0.2646112520077093)
(u'Try', 0.26453813470664933)
(u'huevos', 0.2639983890541284)
(u'Az', 0.2638572893486426)
(u'Super', 0.26330274766148953)
(u'philly', 0.2632266019753846)
(u'piccata', 0.2625568547756387)
(u'Brandon', 0.2618775383737493)
(u'Casual', 0.26171882258890733)
(u'Couldn', 0.26168421093169947)
(u'locksmith', 0.2616098284701742)
(u'rio', 0.2612957859899332)
(u'Bomb', 0.2611273791185358)
(u'Wife', 0.2604705993994685)
(u'Ty', 0.26034150894685126)
(u'Amanda', 0.25994778010016084)
(u'Pest', 0.2598520846930352)
(u'Haven', 0.2597921102569032)
(u'knowledgeable', 0.258572976719849)
(u'Workers', 0.2585012153549666)
(u'highly', 0.2581135825116503)
(u'attentive', 0.25807902795441606)
(u'Carmel', 0.25806511627804696)
(u'Fast', 0.25754262571394726)
(u'Nick', 0.25748319283391297)
(u'phenomenal', 0.25730755340386935)
(u'Alyssa', 0.2567389830180602)
(u'Solid', 0.25639165528881414)
(u'menudo', 0.25611915177623423)
(u'AMAZING', 0.2553722748361693)
(u'margaritas', 0.25531209139813527)
(u'Found', 0.25497807987053456)
(u'prompt', 0.2547088320299551)
(u'Feels', 0.2532971503636343)
(u'Haley', 0.25315159099265294)
(u'Affordable', 0.252382823652459)
(u'Stayed', 0.25234220041553)
(u'Luis', 0.2520025405311461)
(u'Has', 0.25184731037839647)
(u'Brooke', 0.25134803017001595)
(u'Neat', 0.2504971587477094)
(u'Claudia', 0.25045089043777224)
(u'goood', 0.2502324371867388)
(u'chimichanga', 0.2502102418196106)
(u'Played', 0.2502036852696268)
(u'Won', 0.25014124575788266)
(u'Hats', 0.25006390587192584)
(u'soi', 0.24989118684217537)
(u'Atmosphere', 0.24919709569679327)
(u'grandson', 0.24910998039655396)
(u'accommodating', 0.24907255389901195)
(u'terrific', 0.2488212604253377)
(u'Cobb', 0.24806169590348048)
(u'spicey', 0.24746360634699371)
(u'deserts', 0.24719652894355448)
(u'avacado', 0.24715889622943266)
(u'Jonathan', 0.24703493862277348)
(u'Disappointed', 0.2464573603100053)
(u'Logan', 0.24631004368210974)
(u'Kayla', 0.24628954200609776)
(u'barbers', 0.24620243130180164)
(u'Zack', 0.24583392206186794)
(u'punctual', 0.24571586267710188)
(u'shoutout', 0.24557534203271913)
(u'Erika', 0.24555545270263401)
(u'Gonna', 0.24547674186501922)
(u'firecracker', 0.2453255731415389)
(u'Leah', 0.2449824875611224)
(u'awesome', 0.2445541368837718)
(u'Trendy', 0.24454792868871067)
(u'superb', 0.24385676034563808)
(u'Have', 0.24383013161675926)
(u'personable', 0.24330325485056115)
(u'rellenos', 0.24312539815539758)
(u'Placed', 0.24310922738207807)
(u'sever', 0.24248585536465228)
(u'Soooooo', 0.24229218263139884)
(u'everytime', 0.2421730071767776)
(u'disappoint', 0.2420577218078659)
(u'Das', 0.24145407405596764)
(u'Beautiful', 0.24124092585858214)
(u'Recommended', 0.24115471298515878)
(u'great', 0.24098549134387426)
(u'environment', 0.24096465636453956)
(u'Ambience', 0.2409226907124875)
(u'Bloody', 0.24072946344548996)
(u'saki', 0.24070915238154456)
(u'Was', 0.24055739333566528)
(u'vibes', 0.24038487243541873)
(u'Javier', 0.24011987717297956)
(u'Russ', 0.23967629099212395)
(u'fettuccini', 0.23940555597169855)
(u'Took', 0.23932812128932568)
(u'Priced', 0.2392798356991399)
(u'Jenna', 0.23905864653955788)
(u'omelette', 0.23839103036747034)
(u'winterlicious', 0.2383235839324751)
(u'Manny', 0.23828616746473585)
(u'Happened', 0.23809775869907313)
