city,yelp users
1,1012388
2,221758
3,74984
4,33355
5,16933
6,9285
7,5218
8,3075
9,1962
10,1273
11,875
12,578
13,445
14,325
15,233
16,187
17,148
18,127
19,90
20,73
21,50
22,48
23,29
24,32
25,24
26,28
27,26
28,11
29,19
30,12
31,8
32,7
33,16
34,7
35,6
36,12
37,3
38,7
39,4
40,4
41,1
42,4
43,2
44,2
45,3
46,3
47,1
48,5
49,3
50,1
51,2
52,2
53,3
54,0
55,2
56,3
57,0
58,0
59,1
60,0
61,1
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
