city,yelp users
1,931045
2,197606
3,64514
4,27359
5,13538
6,7169
7,3963
8,2315
9,1380
10,848
11,602
12,384
13,289
14,203
15,174
16,120
17,76
18,66
19,56
20,37
21,32
22,23
23,25
24,23
25,22
26,15
27,12
28,3
29,10
30,9
31,10
32,5
33,3
34,3
35,9
36,0
37,2
38,5
39,2
40,3
41,6
42,2
43,1
44,3
45,1
46,1
47,2
48,2
49,1
50,0
51,0
52,1
53,0
54,1
55,0
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
